atclNo,cortarNo,atclNm,latitude,longitude,realEstateTypeCode,realEstateTypeName,tradeTypeName,tradeTypeCode,atclCfmYmd,totalDongCount,totalHouseholdCount,floorAreaRatio,minArea,maxArea,representativeArea,spc1,spc2,spc1_pyeong,spc2_pyeong,direction,flrInfo,tagList,atclFetrDesc,rltrNm,cpNm,directTradYn,etRoomCnt,minMviFee,maxMviFee,sameAddrCnt,priceCount,isPresales,photoCount,dealCount,leaseCount,rentCount,shortTermRentCount,totalArticleCount,existPriceTab,isComplexTourExist,매매가,보증금,월세,매매_최저가,매매_최고가,전세_최저가,전세_최고가,월세_최저가,월세_최고가,매매유형,지하철역명,지하철_거리_미터,지하철_도보_분,초등학교,중학교,고등학교,구,동,매물유형,수집시간,단지명_정규화_단지정보,단지코드_단지정보,시군구_단지정보,세대수_단지정보,사용승인일_단지정보,법정동주소_단지정보,동수_단지정보,분양형태_단지정보,단지코드,시군구,세대수,사용승인일,법정동주소,동수,분양형태
2553248430,1168010600,빌라,37.498571,127.056733,C02,빌라,월세,B2,25.10.02.,0,0,0,0,0,0,30,26.54,9.07,8.03,동향,3월 5일,"['25년이내', '융자금없는', '역세권']","주차차단기있는 편리한주차 넓은 분리형원룸,한티역 도보4분",대치동부동산중개,매경부동산,N,0,0,0,4,0,False,0,0,0,0,0,0,False,False,2000,0,73,2000,2000,0,0,73,73,"매매, 월세",한티역수인분당선,422,6,"서울도곡초등학교, 서울대도초등학교, 서울도성초등학교","단국대학교사범대학 부속중학교, 역삼중학교, 진선여자중학교","단국대학교부속소프트웨어고등학교, 단국대학교사범대학부속고등학교, 중앙대학교사범대학부속고등학교",강남구,대치동,단독다가구/주택,2025.10.8 10:44,,,,,,,,,,,,,,,
2553181719,1168010600,빌라,37.502755,127.050442,C02,빌라,월세,B2,25.10.02.,0,0,0,0,0,0,51,42.58,15.43,12.88,남서향,3월 5일,"['25년이내', '올수리', '역세권']",올수리 싱크교체 깔끔한2룸 에어컨2대 인덕션 정남향신혼부부 추천매물,한국공인중개사사무소,부동산뱅크,N,0,0,0,1,0,False,0,0,0,0,0,0,False,False,4000,0,91,4000,4000,0,0,91,91,"매매, 월세",선릉역2호선,233,3,"서울도성초등학교, 서울도곡초등학교","진선여자중학교, 역삼중학교, 단국대학교사범대학 부속중학교","진선여자고등학교, 단국대학교사범대학부속고등학교",강남구,대치동,단독다가구/주택,2025.10.8 10:44,,,,,,,,,,,,,,,
2553175863,1168010600,다가구,37.505015,127.059179,C03,단독/다가구,월세,B2,25.10.02.,0,0,0,0,0,0,139,139.0,42.05,42.05,남동향,3월 3일,"['25년이상', '화장실세개', '대형평수']","주인직매물 방5, 거실2, 화장실3개 3층4층 옥상 단독사용",한국공인중개사사무소,한경부동산,N,0,0,0,1,0,False,0,0,0,0,0,0,False,False,10000,0,480,10000,10000,0,0,480,480,"매매, 월세",삼성역2호선,542,8,"서울대현초등학교, 서울도곡초등학교, 서울도성초등학교","대명중학교, 휘문중학교, 진선여자중학교",휘문고등학교,강남구,대치동,단독다가구/주택,2025.10.8 10:44,,,,,,,,,,,,,,,
2553135728,1168010600,다가구,37.502024,127.057248,C03,단독/다가구,월세,B2,25.10.02.,0,0,0,0,0,0,39,39.0,11.8,11.8,남향,4월 6일,"['10년이내', '화장실한개', '소형평수']",신축급 넓은 원거실  원룸 풀옵션  주차 무료한대  거실대,한국공인중개사사무소,부동산뱅크,N,0,0,0,1,0,False,0,0,0,0,0,0,False,False,1000,0,170,1000,1000,0,0,170,170,"매매, 월세",한티역수인분당선,744,11,"서울도곡초등학교, 서울대현초등학교, 서울도성초등학교","휘문중학교, 대명중학교, 단국대학교사범대학 부속중학교","휘문고등학교, 단국대학교부속소프트웨어고등학교, 단국대학교사범대학부속고등학교",강남구,대치동,단독다가구/주택,2025.10.8 10:44,,,,,,,,,,,,,,,
2553126060,1168010600,다가구,37.49912,127.059346,C03,단독/다가구,월세,B2,25.10.02.,0,0,0,0,0,0,65,56.2,19.66,17.0,남서향,2월 3일,"['25년이상', '방세개', '화장실한개']",은마 4거리 유명 학원가 인근 깔끔한 3룸 주차가능,한국공인중개사사무소,부동산뱅크,N,0,0,0,1,0,False,0,0,0,0,0,0,False,False,3000,0,150,3000,3000,0,0,150,150,"매매, 월세",대치역3호선,616,9,"서울도곡초등학교, 서울대현초등학교, 서울대곡초등학교","단국대학교사범대학 부속중학교, 휘문중학교, 대명중학교","단국대학교부속소프트웨어고등학교, 단국대학교사범대학부속고등학교, 휘문고등학교",강남구,대치동,단독다가구/주택,2025.10.8 10:44,,,,,,,,,,,,,,,
2553122095,1168010600,다가구,37.497594,127.055159,C03,단독/다가구,월세,B2,25.10.02.,0,0,0,0,0,0,36,27.0,10.89,8.17,남향,4월 6일,"['25년이내', '역세권', '소형평수']",,한국공인중개사사무소,한경부동산,N,0,0,0,1,0,False,0,0,0,0,0,0,False,False,2000,0,70,2000,2000,0,0,70,70,"매매, 월세",한티역수인분당선,246,3,"서울도곡초등학교, 서울대도초등학교, 서울도성초등학교","단국대학교사범대학 부속중학교, 역삼중학교, 숙명여자중학교","단국대학교사범대학부속고등학교, 단국대학교부속소프트웨어고등학교, 중앙대학교사범대학부속고등학교",강남구,대치동,단독다가구/주택,2025.10.8 10:44,,,,,,,,,,,,,,,
2553136610,1168010600,다가구,37.499502,127.053593,C03,단독/다가구,전세,B1,25.10.02.,0,0,0,0,0,0,128,115.0,38.72,34.79,남향,고/4,"['25년이상', '역세권', '방세개']",도곡초인근 넓은 3룸2욕실 탁트인공간 주차가능,한국공인중개사사무소,한경부동산,N,0,0,0,1,0,False,0,0,0,0,0,0,False,False,75000,0,0,75000,75000,0,0,0,0,매매,한티역수인분당선,362,5,"서울도곡초등학교, 서울도성초등학교, 서울대도초등학교","단국대학교사범대학 부속중학교, 진선여자중학교, 역삼중학교","단국대학교사범대학부속고등학교, 단국대학교부속소프트웨어고등학교, 진선여자고등학교",강남구,대치동,단독다가구/주택,2025.10.8 10:44,,,,,,,,,,,,,,,
2553170995,1168010600,빌라,37.504767,127.059835,C02,빌라,전세,B1,25.10.02.,0,0,0,0,0,0,117,105.18,35.39,31.82,남향,3월 3일,"['25년이상', '올수리', '화장실두개']",휘문고인근 넓은 남향 3룸2욕실 아파트식 구조로 올수리 주차가능,한국공인중개사사무소,부동산뱅크,N,0,0,0,1,0,False,0,0,0,0,0,0,False,False,70000,0,0,70000,70000,0,0,0,0,매매,삼성역2호선,531,7,"서울대현초등학교, 서울도곡초등학교","휘문중학교, 대명중학교",휘문고등학교,강남구,대치동,단독다가구/주택,2025.10.8 10:44,,,,,,,,,,,,,,,
2553114975,1168010600,다가구,37.499149,127.052489,C03,단독/다가구,월세,B2,25.10.02.,0,0,0,0,0,0,80,70.0,24.2,21.18,남향,3월 5일,"['25년이내', '역세권', '방두개']",아파트형 구조 2룸 넓은거실 도곡초인근 에어컨과 각종 편의옵션,한국공인중개사사무소,부동산뱅크,N,0,0,0,1,0,False,0,0,0,0,0,0,False,False,10000,0,150,10000,10000,0,0,150,150,"매매, 월세",한티역수인분당선,320,4,"서울도곡초등학교, 서울도성초등학교, 서울대도초등학교","역삼중학교, 진선여자중학교, 단국대학교사범대학 부속중학교","단국대학교사범대학부속고등학교, 진선여자고등학교, 단국대학교부속소프트웨어고등학교",강남구,대치동,단독다가구/주택,2025.10.8 10:44,,,,,,,,,,,,,,,
2553044223,1168010600,다가구,37.49884,127.058931,C03,단독/다가구,단기임대,B3,25.10.01.,0,0,0,0,0,0,30,15.0,9.07,4.54,남향,3월 5일,"['25년이내', '화장실한개', '소형평수']",보안좋고 쾌적한 풀옵션 학원가 좋은집 조용하고 가격대비최상급 강력추천,하나공인중개사사무소,한경부동산,N,0,0,0,1,0,False,0,0,0,0,0,0,False,False,1000,0,85,1000,1000,0,0,85,85,"매매, 월세",한티역수인분당선,602,8,"서울도곡초등학교, 서울대곡초등학교, 서울대현초등학교","단국대학교사범대학 부속중학교, 휘문중학교, 대명중학교","단국대학교부속소프트웨어고등학교, 단국대학교사범대학부속고등학교, 휘문고등학교",강남구,대치동,단독다가구/주택,2025.10.8 10:44,,,,,,,,,,,,,,,
