markerId,markerType,latitude,longitude,complexName,realEstateTypeCode,realEstateTypeName,completionYearMonth,totalDongCount,totalHouseholdCount,floorAreaRatio,minArea,maxArea,representativeArea,etRoomCnt,minMviFee,maxMviFee,sameAddrCnt,priceCount,isPresales,photoCount,dealCount,leaseCount,rentCount,shortTermRentCount,totalArticleCount,existPriceTab,isComplexTourExist,매매가,보증금,월세,매매_최저가,매매_최고가,전세_최저가,전세_최고가,월세_최저가,월세_최고가,매매유형,지하철역명,지하철_거리_미터,지하철_도보_분,초등학교,중학교,고등학교,구,동,매물유형,수집시간
102379,COMPLEX,37.479506,127.048628,우찬현대(103),APT,아파트,200606,1,10,239,71.89,152.26,114.83,0,0,0,0,0,FALSE,0,0,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,0,0,0,,매봉역3호선,843,12,"서울구룡초등학교, 서울포이초등학교, 서울개원초등학교","국립국악중학교, 대치중학교, 언남중학교","국립국악고등학교, 언남고등학교",강남구,개포동,아파트/오피스텔,2025.10.8 1:11
124917,COMPLEX,37.482932,127.061271,에버그린(주상복합),APT,아파트,200303,1,9,311,74.08,96.82,96,0,0,0,0,1,FALSE,0,0,2,0,0,2,TRUE,FALSE,0,0,0,0,0,50000,63900,0,0,전세,구룡역수인분당선,481,7,"서울개현초등학교, 서울개원초등학교, 서울개일초등학교","개포중학교, 구룡중학교, 대청중학교","개포고등학교, 수도전기공업고등학교, 경기여자고등학교",강남구,개포동,아파트/오피스텔,2025.10.8 1:11
101878,COMPLEX,37.485699,127.046774,로덴하우스이스트빌리지,APT,아파트,200910,1,33,249,280.33,287.45,280.33,0,0,0,0,0,FALSE,0,0,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,0,0,0,,매봉역3호선,138,2,"서울구룡초등학교, 서울언주초등학교, 서울개일초등학교","대치중학교, 숙명여자중학교, 도곡중학교","숙명여자고등학교, 중앙대학교사범대학부속고등학교",강남구,개포동,아파트/오피스텔,2025.10.8 1:11
13077,COMPLEX,37.487689,127.046658,울트라멤버스,APT,아파트,200312,1,19,296,153.31,153.31,153,0,0,0,0,2,FALSE,0,0,11,3,0,14,TRUE,FALSE,0,0,0,0,0,140000,140000,280,440,"전세, 월세",매봉역3호선,83,1,"서울대도초등학교, 서울구룡초등학교, 서울언주초등학교","대치중학교, 도곡중학교, 숙명여자중학교","숙명여자고등학교, 중앙대학교사범대학부속고등학교",강남구,개포동,아파트/오피스텔,2025.10.8 1:11
100657,COMPLEX,37.478728,127.04606,골든빌,OPST,오피스텔,200305,1,35,293,24.55,30.57,30,0,0,0,0,1,FALSE,0,0,0,1,9,10,TRUE,FALSE,0,0,0,0,0,0,0,90,90,월세,매봉역3호선,914,13,"서울구룡초등학교, 서울포이초등학교, 서울매헌초등학교","국립국악중학교, 대치중학교, 언남중학교","국립국악고등학교, 언남고등학교",강남구,개포동,아파트/오피스텔,2025.10.8 1:11
1327,COMPLEX,37.488014,127.061354,현대3차,APT,아파트,198603,5,198,147,105.86,193.76,193,0,0,0,0,3,FALSE,0,24,12,22,0,58,TRUE,FALSE,0,0,0,399000,440000,90000,180000,60,240,"매매, 전세, 월세",구룡역수인분당선,197,2,"서울대치초등학교, 서울개일초등학교, 서울개원초등학교","대청중학교, 구룡중학교, 개포중학교","수도전기공업고등학교, 경기여자고등학교, 경기여자고등학교부설방송통신고등학교",강남구,개포동,아파트/오피스텔,2025.10.8 1:11
3049,COMPLEX,37.488551,127.046667,삼성,APT,아파트,199412,4,231,139,81.09,104.15,81,0,0,0,0,3,FALSE,0,9,9,18,0,36,TRUE,FALSE,0,0,0,265000,350000,65000,90000,40,330,"매매, 전세, 월세",매봉역3호선,179,2,"서울대도초등학교, 서울언주초등학교, 서울구룡초등학교","대치중학교, 도곡중학교, 숙명여자중학교","숙명여자고등학교, 중앙대학교사범대학부속고등학교, 은광여자고등학교",강남구,개포동,아파트/오피스텔,2025.10.8 1:11
10817,COMPLEX,37.488344,127.048516,SK리더스뷰,OPST,오피스텔,200510,1,174,461,245,295.92,245,0,0,0,0,3,FALSE,0,14,9,15,0,38,TRUE,FALSE,0,0,0,260000,360000,170000,190000,150,650,"매매, 전세, 월세",매봉역3호선,223,3,"서울대도초등학교, 서울구룡초등학교, 서울개일초등학교","숙명여자중학교, 대치중학교, 도곡중학교","숙명여자고등학교, 중앙대학교사범대학부속고등학교, 개포고등학교",강남구,개포동,아파트/오피스텔,2025.10.8 1:11
3038,COMPLEX,37.488556,127.054664,타워팰리스1차(주상복합),APT,아파트,200210,4,1292,919,112.71,403.76,220,0,0,0,0,3,FALSE,0,201,31,44,0,276,TRUE,FALSE,0,0,0,339000,1100000,230000,300000,150,2500,"매매, 전세, 월세",도곡역3호선,278,4,"서울개일초등학교, 서울대도초등학교, 서울대치초등학교","구룡중학교, 숙명여자중학교, 대청중학교","숙명여자고등학교, 중앙대학교사범대학부속고등학교, 개포고등학교",강남구,개포동,아파트/오피스텔,2025.10.8 1:11
9218,COMPLEX,37.488828,127.051585,아카데미스위트(주상복합),APT,아파트,200411,1,414,996,112.2,332.64,165,0,0,0,0,3,FALSE,0,43,26,11,0,80,TRUE,FALSE,0,0,0,210000,650000,150000,220000,80,645,"매매, 전세, 월세",도곡역3호선,419,6,"서울대도초등학교, 서울개일초등학교, 서울구룡초등학교","숙명여자중학교, 구룡중학교, 대치중학교","숙명여자고등학교, 중앙대학교사범대학부속고등학교, 개포고등학교",강남구,개포동,아파트/오피스텔,2025.10.8 1:11
