atclNo,cortarNo,atclNm,latitude,longitude,realEstateTypeCode,realEstateTypeName,tradeTypeName,tradeTypeCode,atclCfmYmd,totalDongCount,totalHouseholdCount,floorAreaRatio,minArea,maxArea,representativeArea,spc1,spc2,spc1_pyeong,spc2_pyeong,direction,flrInfo,tagList,atclFetrDesc,rltrNm,cpNm,directTradYn,etRoomCnt,minMviFee,maxMviFee,sameAddrCnt,priceCount,isPresales,photoCount,dealCount,leaseCount,rentCount,shortTermRentCount,totalArticleCount,existPriceTab,isComplexTourExist,매매가,보증금,월세,매매_최저가,매매_최고가,전세_최저가,전세_최고가,월세_최저가,월세_최고가,매매유형,지하철역명,지하철_거리_미터,지하철_도보_분,초등학교,중학교,고등학교,구,동,매물유형,수집시간
2550335129,1168010600,일반원룸,37.501614,127.056772,C01,원룸,월세,B2,25.09.18.,0,0,0,0,0,0,40,30,12.1,9.07,남향,1월 3일,"['25년이상', '1층', '화장실한개']",보안좋고 쾌적한 풀옵션 학원가 좋은집 조용하고 가격대비최상급 강력추천,하나공인중개사사무소,한경부동산,N,0,0,0,1,0,FALSE,0,0,0,0,0,0,FALSE,FALSE,1000,0,80,1000,1000,0,0,80,80,"매매, 월세",한티역수인분당선,683,10,"서울도곡초등학교, 서울대현초등학교, 서울도성초등학교","휘문중학교, 대명중학교, 단국대학교사범대학 부속중학교","휘문고등학교, 단국대학교부속소프트웨어고등학교, 단국대학교사범대학부속고등학교",강남구,대치동,원룸,2025.10.8 9:48
2550334989,1168010600,일반원룸,37.501614,127.056772,C01,원룸,월세,B2,25.09.18.,0,0,0,0,0,0,40,30,12.1,9.07,남향,3월 3일,"['25년이상', '화장실한개', '소형평수']",보안좋고 쾌적한 풀옵션 학원가 좋은집 조용하고 가격대비최상급 강력추천,하나공인중개사사무소,한경부동산,N,0,0,0,1,0,FALSE,0,0,0,0,0,0,FALSE,FALSE,1000,0,80,1000,1000,0,0,80,80,"매매, 월세",한티역수인분당선,683,10,"서울도곡초등학교, 서울대현초등학교, 서울도성초등학교","휘문중학교, 대명중학교, 단국대학교사범대학 부속중학교","휘문고등학교, 단국대학교부속소프트웨어고등학교, 단국대학교사범대학부속고등학교",강남구,대치동,원룸,2025.10.8 9:48
2553212099,1168010600,일반원룸,37.505009,127.063392,C01,원룸,월세,B2,25.10.02.,0,0,0,0,0,0,66,33.78,19.96,10.22,남향,4월 7일,"['15년이내', '융자금없는', '역세권']",휘문중고 옆 도시형 생활주택으로 관리 잘되는 건물의 원룸 월세 ,강남川공인중개사,부동산써브,N,0,0,0,1,0,FALSE,0,0,0,0,0,0,FALSE,FALSE,100,100,110,100,100,100,100,110,110,"매매, 전세, 월세",삼성역2호선,425,6,"서울대현초등학교, 서울도곡초등학교","휘문중학교, 대명중학교","휘문고등학교, 정신여자고등학교",강남구,대치동,원룸,2025.10.8 9:48
2553075745,1168010600,일반원룸,37.500301,127.05486,C01,원룸,월세,B2,25.10.02.,0,0,0,0,0,0,0,24.24,0,7.33,남동향,1월 4일,"['25년이내', '융자금없는', '1층']",대치동 도곡초등학교 인근 큰원룸.,부동산카페부동산중개주식회사,부동산뱅크,N,0,0,0,1,0,FALSE,0,0,0,0,0,0,FALSE,FALSE,15750,0,3,15750,15750,0,0,3,3,"매매, 월세",한티역수인분당선,478,7,"서울도곡초등학교, 서울도성초등학교, 서울대도초등학교","단국대학교사범대학 부속중학교, 진선여자중학교, 역삼중학교","단국대학교사범대학부속고등학교, 단국대학교부속소프트웨어고등학교, 진선여자고등학교",강남구,대치동,원룸,2025.10.8 9:48
2553857543,1168010600,기타,37.498542,127.056408,C01,원룸,월세,B2,25.10.05.,0,0,0,0,0,0,61,47.78,18.45,14.45,남동향,5월 5일,"['10년이내', '역세권', '화장실한개']","풀옵션 투룸, 엘베, 준신축급, 깨끗하고 깔끔",롯데부동산공인중개사사무소,매경부동산,N,0,0,0,1,0,FALSE,0,0,0,0,0,0,FALSE,FALSE,2000,0,230,2000,2000,0,0,230,230,"매매, 월세",한티역수인분당선,397,5,"서울도곡초등학교, 서울대도초등학교, 서울도성초등학교","단국대학교사범대학 부속중학교, 역삼중학교, 진선여자중학교","단국대학교사범대학부속고등학교, 단국대학교부속소프트웨어고등학교, 중앙대학교사범대학부속고등학교",강남구,대치동,원룸,2025.10.8 9:48
2553849788,1168010600,일반원룸,37.49884,127.058931,C01,원룸,월세,B2,25.10.04.,0,0,0,0,0,0,24,20.9,7.26,6.32,남향,5월 6일,"['25년이내', '화장실한개', '소형평수', '방한개']","대치학원가, 학생만, 공부하기 좋은 풀옵션 원룸, 주차1",미라클알파부동산중개,매경부동산,N,0,0,0,2,0,FALSE,0,0,0,0,0,0,FALSE,FALSE,3000,0,90,3000,3000,0,0,90,90,"매매, 월세",한티역수인분당선,602,8,"서울도곡초등학교, 서울대곡초등학교, 서울대현초등학교","단국대학교사범대학 부속중학교, 휘문중학교, 대명중학교","단국대학교부속소프트웨어고등학교, 단국대학교사범대학부속고등학교, 휘문고등학교",강남구,대치동,원룸,2025.10.8 9:48
2553830493,1168010600,일반원룸,37.498991,127.053035,C01,원룸,월세,B2,25.10.04.,0,0,0,0,0,0,30,28,9.07,8.47,남향,3월 4일,"['25년이상', '역세권', '화장실한개', '소형평수']","1룸풀옵션,한티역인근,가성비 좋은집,입주협의,그 외 다수매물보유중",장원공인중개사사무소,한경부동산,N,0,0,0,1,0,FALSE,0,0,0,0,0,0,FALSE,FALSE,1000,0,60,1000,1000,0,0,60,60,"매매, 월세",한티역수인분당선,301,4,"서울도곡초등학교, 서울도성초등학교, 서울대도초등학교","역삼중학교, 단국대학교사범대학 부속중학교, 진선여자중학교","단국대학교사범대학부속고등학교, 단국대학교부속소프트웨어고등학교, 진선여자고등학교",강남구,대치동,원룸,2025.10.8 9:48
2553839763,1168010600,일반원룸,37.498991,127.053035,C01,원룸,월세,B2,25.10.04.,0,0,0,0,0,0,27,23,8.17,6.96,남향,3월 4일,"['25년이상', '융자금없는', '역세권']","2방향 창문 밝은 분리형원룸 한티역4분거리, 주차불가",대치동부동산중개,매경부동산,N,0,0,0,1,0,FALSE,0,0,0,0,0,0,FALSE,FALSE,1000,0,65,1000,1000,0,0,65,65,"매매, 월세",한티역수인분당선,301,4,"서울도곡초등학교, 서울도성초등학교, 서울대도초등학교","역삼중학교, 단국대학교사범대학 부속중학교, 진선여자중학교","단국대학교사범대학부속고등학교, 단국대학교부속소프트웨어고등학교, 진선여자고등학교",강남구,대치동,원룸,2025.10.8 9:48
2553833647,1168010600,일반원룸,37.498979,127.055872,C01,원룸,전세,B1,25.10.04.,0,0,0,0,0,0,17,14.63,5.14,4.43,동향,6월 6일,"['10년이내', '융자금없는', '역세권', '세대분리']",엘베. 신축급 위치 좋고 깨끗한 거실분리형 원룸 전세,온누리공인중개사사무소,매경부동산,N,0,0,0,1,0,FALSE,0,0,0,0,0,0,FALSE,FALSE,22000,0,0,22000,22000,0,0,0,0,매매,한티역수인분당선,397,5,"서울도곡초등학교, 서울도성초등학교, 서울대도초등학교","단국대학교사범대학 부속중학교, 역삼중학교, 진선여자중학교","단국대학교사범대학부속고등학교, 단국대학교부속소프트웨어고등학교, 중앙대학교사범대학부속고등학교",강남구,대치동,원룸,2025.10.8 9:48
2553686413,1168010600,일반원룸,37.500385,127.057937,C01,원룸,월세,B2,25.10.03.,0,0,0,0,0,0,37,32.38,11.19,9.79,남향,4월 5일,"['25년이내', '세대분리', '화장실한개']",대치4동 주민센터인근 남향인 분리형원룸,윤진공인중개사사무소,한경부동산,N,0,0,0,1,0,FALSE,0,0,0,0,0,0,FALSE,FALSE,800,800,95,800,800,800,800,95,95,"매매, 전세, 월세",한티역수인분당선,635,9,"서울도곡초등학교, 서울대현초등학교, 서울도성초등학교","단국대학교사범대학 부속중학교, 휘문중학교, 대명중학교","단국대학교부속소프트웨어고등학교, 단국대학교사범대학부속고등학교, 휘문고등학교",강남구,대치동,원룸,2025.10.8 9:48
