단지명,단지코드,세대수,동수,준공년월,구,동,위도,경도,매매_최저가,매매_최고가,전세_최저가,전세_최고가,월세_최저가,월세_최고가,매매_최저가_억원,매매_최고가_억원,전세_최저가_억원,전세_최고가_억원,월세_최저가_억원,월세_최고가_억원,면적요약,단지요약,총_거래건수,매매_거래건수,전세_거래건수,월세_거래건수,유형
우찬현대(103),,10,1,200606,강남구,개포동,37.479506,127.048628,0,0,0,0,0,0,,,,,,,71.89-152.26㎡,,0,0,0,0,아파트
에버그린(주상복합),,9,1,200303,강남구,개포동,37.482932,127.061271,0,0,50000,63900,0,0,,,5,6.4,,,74.08-96.82㎡,,2,0,2,0,아파트
로덴하우스이스트빌리지,,33,1,200910,강남구,개포동,37.485699,127.046774,0,0,0,0,0,0,,,,,,,280.33-287.45㎡,,0,0,0,0,아파트
울트라멤버스,,19,1,200312,강남구,개포동,37.487689,127.046658,0,0,140000,140000,280,440,,,14,14,0.0,0.0,153.31-153.31㎡,,14,0,11,3,아파트
골든빌,,35,1,200305,강남구,개포동,37.478728,127.04606,0,0,0,0,90,90,,,,,0.0,0.0,24.55-30.57㎡,,10,0,0,1,오피스텔
현대3차,,198,5,198603,강남구,개포동,37.488014,127.061354,399000,440000,90000,180000,60,240,39.9,44,9,18,0.0,0.0,105.86-193.76㎡,,58,24,12,22,아파트
삼성,,231,4,199412,강남구,개포동,37.488551,127.046667,265000,350000,65000,90000,40,330,26.5,35,6.5,9,0.0,0.0,81.09-104.15㎡,,36,9,9,18,아파트
SK리더스뷰,,174,1,200510,강남구,개포동,37.488344,127.048516,260000,360000,170000,190000,150,650,26,36,17,19,0.0,0.1,245.0-295.92㎡,,38,14,9,15,오피스텔
타워팰리스1차(주상복합),,1292,4,200210,강남구,개포동,37.488556,127.054664,339000,1100000,230000,300000,150,2500,33.9,110,23,30,0.0,0.2,112.71-403.76㎡,,276,201,31,44,아파트
아카데미스위트(주상복합),,414,1,200411,강남구,개포동,37.488828,127.051585,210000,650000,150000,220000,80,645,21,65,15,22,0.0,0.1,112.2-332.64㎡,,80,43,26,11,아파트
현대비젼21(주상복합),,232,1,199911,강남구,개포동,37.487314,127.051525,40000,65000,30400,37000,30,120,4,6.5,3.0,3.7,0.0,0.0,50.9-55.31㎡,,46,28,11,7,아파트
도곡렉슬,,3002,34,200601,강남구,개포동,37.493869,127.050945,289000,680000,97000,260000,50,750,28.9,68,9.7,26,0.0,0.1,86.43-225.29㎡,,609,221,185,202,아파트
메트하임,,102,1,201812,강남구,개포동,37.489069,127.067195,30000,52000,23000,33000,100,1100,3,5.2,2.3,3.3,0.0,0.1,44.11-60.18㎡,,29,17,3,8,오피스텔
디에이치퍼스티어아이파크,,6702,74,202311,강남구,개포동,37.480393,127.057099,150000,1200000,67500,600000,60,1050,15,120,6.8,60,0.0,0.1,50.73-230.69㎡,,1779,170,724,884,아파트
YH빌리지,,4,1,201709,강남구,개포동,37.478255,127.046666,0,0,0,0,0,0,,,,,,,41.67-55.93㎡,,0,0,0,0,오피스텔
우찬현대(101),,15,1,200606,강남구,개포동,37.479471,127.048752,0,0,0,0,0,0,,,,,,,65.21-156.31㎡,,0,0,0,0,아파트
하우징허브럭스,,18,1,201702,강남구,개포동,37.47656,127.046198,0,0,0,0,0,0,,,,,,,83.98-88.23㎡,,0,0,0,0,오피스텔
대치푸르지오발라드(도시형),,78,1,202401,강남구,개포동,37.487235,127.060511,0,0,75000,95000,260,260,,,7.5,9.5,0.0,0.0,60.87-77.19㎡,,8,0,7,1,아파트
우성8차,,261,3,198709,강남구,개포동,37.488147,127.062246,290000,300000,90000,100000,145,160,29,30,9,10,0.0,0.0,98.87-109.35㎡,,67,26,31,10,아파트
도곡삼성래미안,,732,10,200112,강남구,개포동,37.489972,127.050406,280000,430000,95000,170000,70,400,28,43,9.5,17,0.0,0.0,81.35-158.1㎡,,62,28,20,14,아파트
대림아크로텔,,311,1,199911,강남구,개포동,37.488224,127.051132,45000,450000,0,0,100,650,4.5,45,,,0.0,0.1,63.13-209.42㎡,,24,13,0,11,오피스텔
개포현대(200동),,72,1,198607,강남구,개포동,37.481772,127.052579,270000,295000,80000,90000,80,240,27,29.5,8,9,0.0,0.0,101.55-101.55㎡,,34,6,14,14,아파트
타워팰리스1차,,202,1,200210,강남구,개포동,37.488709,127.054674,170000,380000,90000,200000,165,900,17,38,9,20,0.0,0.1,138.68-307.45㎡,,132,38,22,70,오피스텔
그루,,15,1,201908,강남구,개포동,37.477124,127.04562,0,0,0,0,66,66,,,,,0.0,0.0,38.67-41.7㎡,,2,0,0,2,오피스텔
"개포우성1,2차",,1140,14,198312,강남구,개포동,37.491424,127.059787,450000,750000,110000,250000,40,880,45,75,11,25,0.0,0.1,101.09-214.88㎡,,356,98,168,89,아파트
대림아크로빌(주상복합),,490,2,199911,강남구,개포동,37.488198,127.051147,150000,500000,152000,270000,40,560,15,50,15.2,27,0.0,0.1,78.8-230.18㎡,,91,39,41,11,아파트
대치클래시아,,77,1,201512,강남구,개포동,37.493684,127.060491,45800,68000,45000,45000,195,195,4.6,6.8,4.5,4.5,0.0,0.0,42.36-61.63㎡,,27,25,1,1,오피스텔
